Left,Satisfaction Level,Work Accident,Average Monthly Hours,Last Evaluation,Years in the Company,salary,Department,Number of Projects,Promoted in the last 5 years?,Date Hired
Yes,0.74,No,244,0.93,5,low,technical,5,No,2015-06-16T00:00:00Z
Yes,0.41,No,128,0.5,3,low,management,2,No,2017-02-03T00:00:00Z
Yes,0.44,No,154,0.53,3,low,IT,2,No,2017-03-05T00:00:00Z
Yes,0.37,No,138,0.56,3,low,IT,2,No,2017-07-13T00:00:00Z
Yes,0.11,No,308,0.86,4,low,IT,6,No,2016-11-04T00:00:00Z
Yes,0.1,No,269,0.93,4,low,IT,6,No,2016-08-28T00:00:00Z
Yes,0.7,No,136,0.74,3,low,IT,6,No,2017-11-20T00:00:00Z
Yes,0.59,No,160,1,5,low,product_mng,2,No,2015-08-01T00:00:00Z
Yes,0.38,No,138,0.53,3,low,product_mng,2,No,2017-03-27T00:00:00Z
Yes,0.72,No,220,0.95,5,low,product_mng,4,No,2015-02-23T00:00:00Z
Yes,0.73,No,274,1,5,low,product_mng,5,No,2015-03-08T00:00:00Z
Yes,0.39,No,161,0.48,3,low,IT,2,No,2017-03-20T00:00:00Z
Yes,0.89,No,224,0.82,6,low,RandD,5,No,2014-01-28T00:00:00Z
Yes,0.89,No,260,1,5,low,RandD,4,No,2015-08-01T00:00:00Z
Yes,0.43,No,133,0.56,3,low,RandD,2,No,2017-07-24T00:00:00Z
Yes,0.09,No,308,0.93,4,low,RandD,6,No,2016-04-21T00:00:00Z
Yes,0.81,No,238,0.9,6,low,marketing,5,No,2014-07-30T00:00:00Z
Yes,0.37,No,126,0.53,3,low,sales,2,No,2017-11-17T00:00:00Z
Yes,0.36,No,138,0.56,3,medium,accounting,2,No,2017-05-20T00:00:00Z
Yes,0.11,No,299,0.85,4,medium,support,6,No,2016-12-05T00:00:00Z
Yes,0.1,No,254,0.85,4,medium,technical,6,No,2016-08-04T00:00:00Z
Yes,0.66,No,156,0.47,2,medium,management,7,No,2018-11-06T00:00:00Z
Yes,0.39,No,152,0.47,3,medium,marketing,2,No,2017-07-14T00:00:00Z
Yes,0.44,No,146,0.51,3,medium,marketing,2,No,2017-01-25T00:00:00Z
Yes,0.1,No,253,0.84,4,medium,marketing,6,No,2016-02-09T00:00:00Z
Yes,0.79,No,227,0.94,6,medium,sales,5,No,2014-11-11T00:00:00Z
Yes,0.54,No,294,0.94,3,medium,sales,6,No,2017-02-16T00:00:00Z
Yes,0.37,No,151,0.47,3,medium,sales,2,No,2017-10-17T00:00:00Z
Yes,0.37,No,128,0.57,3,medium,sales,2,No,2017-11-05T00:00:00Z
Yes,0.82,No,217,0.89,5,high,sales,5,No,2015-06-28T00:00:00Z
Yes,0.45,No,160,0.52,3,low,sales,2,No,2017-11-09T00:00:00Z
Yes,0.79,No,263,0.9,5,medium,sales,5,No,2015-12-31T00:00:00Z
Yes,0.42,No,156,0.56,3,medium,sales,2,No,2017-01-08T00:00:00Z
Yes,0.1,No,273,0.85,4,medium,sales,6,No,2016-05-16T00:00:00Z
Yes,0.11,No,303,0.78,4,medium,sales,6,No,2016-01-16T00:00:00Z
Yes,0.74,No,253,1,5,low,sales,4,No,2015-11-01T00:00:00Z
Yes,0.1,No,270,0.93,4,low,sales,6,No,2016-02-29T00:00:00Z
Yes,0.79,No,218,1,5,low,sales,4,No,2015-12-07T00:00:00Z
Yes,0.43,No,144,0.48,3,low,sales,2,No,2017-09-08T00:00:00Z
Yes,0.41,No,154,0.47,3,low,sales,2,No,2017-04-01T00:00:00Z
Yes,0.39,No,146,0.55,3,low,sales,2,No,2017-02-08T00:00:00Z
Yes,0.1,No,260,0.94,4,low,sales,6,No,2016-01-16T00:00:00Z
Yes,0.82,No,218,0.85,5,low,sales,5,No,2015-10-31T00:00:00Z
Yes,0.41,No,128,0.46,3,low,accounting,2,No,2017-11-22T00:00:00Z
Yes,0.42,No,128,0.56,3,low,accounting,2,No,2017-02-05T00:00:00Z
Yes,0.74,No,248,0.88,6,low,accounting,4,No,2014-12-13T00:00:00Z
Yes,0.39,No,126,0.56,3,low,hr,2,No,2017-03-12T00:00:00Z
Yes,0.87,No,260,0.94,5,low,hr,4,No,2015-07-11T00:00:00Z
Yes,0.1,No,263,0.9,4,low,hr,5,No,2016-08-11T00:00:00Z
Yes,0.78,No,220,1,5,low,technical,5,No,2015-09-01T00:00:00Z
Yes,0.14,No,282,0.73,5,low,technical,7,No,2015-06-13T00:00:00Z
Yes,0.11,No,277,0.94,5,low,technical,6,No,2015-12-10T00:00:00Z
Yes,0.91,No,257,0.94,5,low,technical,5,No,2015-03-21T00:00:00Z
Yes,0.49,No,265,0.63,3,low,technical,6,No,2017-09-15T00:00:00Z
Yes,0.38,No,143,0.47,3,low,technical,2,No,2017-09-14T00:00:00Z
Yes,0.82,No,263,0.97,5,medium,technical,5,No,2015-08-09T00:00:00Z
Yes,0.38,No,154,0.88,4,medium,technical,3,No,2016-02-12T00:00:00Z
Yes,0.89,No,253,1,5,medium,technical,5,No,2015-04-09T00:00:00Z
Yes,0.11,No,294,0.79,4,medium,technical,6,No,2016-10-05T00:00:00Z
Yes,0.37,No,128,0.51,3,medium,technical,2,No,2017-01-29T00:00:00Z
Yes,0.38,No,153,0.5,3,medium,support,2,No,2017-07-29T00:00:00Z
Yes,0.78,No,256,0.87,5,medium,support,5,No,2015-04-01T00:00:00Z
Yes,0.41,No,127,0.51,3,medium,support,2,No,2017-10-29T00:00:00Z
Yes,0.41,No,137,0.51,3,medium,support,2,No,2017-01-16T00:00:00Z
Yes,0.11,No,295,0.83,4,medium,support,6,No,2016-09-22T00:00:00Z
Yes,0.11,No,281,0.79,4,medium,support,6,No,2016-08-24T00:00:00Z
Yes,0.75,No,237,0.86,5,high,support,5,No,2015-11-21T00:00:00Z
Yes,0.74,No,276,0.99,5,low,support,4,No,2015-01-23T00:00:00Z
Yes,0.85,No,267,0.85,5,medium,support,5,No,2015-04-19T00:00:00Z
Yes,0.73,No,266,0.92,5,medium,support,5,No,2015-10-31T00:00:00Z
Yes,0.1,No,294,0.79,4,medium,technical,6,No,2016-04-27T00:00:00Z
Yes,0.44,No,134,0.56,3,medium,technical,2,No,2017-09-23T00:00:00Z
Yes,0.11,No,273,0.77,4,low,management,7,No,2016-10-10T00:00:00Z
Yes,0.84,No,238,0.83,5,low,IT,5,No,2015-07-22T00:00:00Z
Yes,0.78,No,271,0.94,6,low,IT,5,No,2014-09-26T00:00:00Z
Yes,0.43,No,145,0.53,3,low,IT,2,No,2017-06-16T00:00:00Z
Yes,0.36,No,152,0.55,3,low,IT,2,No,2017-02-28T00:00:00Z
Yes,0.43,No,128,0.47,3,low,IT,2,No,2017-02-05T00:00:00Z
Yes,0.45,No,142,0.46,3,low,product_mng,2,No,2017-12-22T00:00:00Z
Yes,0.76,No,238,0.93,5,low,product_mng,5,No,2015-07-06T00:00:00Z
Yes,0.1,No,286,0.78,4,low,product_mng,7,No,2016-07-12T00:00:00Z
Yes,0.09,No,291,0.86,4,low,product_mng,6,No,2016-04-19T00:00:00Z
Yes,0.92,No,259,1,5,low,IT,5,No,2015-03-02T00:00:00Z
Yes,0.92,No,248,0.9,5,low,sales,5,No,2015-08-06T00:00:00Z
Yes,0.79,No,271,0.98,5,low,sales,4,No,2015-09-02T00:00:00Z
Yes,0.43,No,140,0.51,3,low,sales,2,No,2017-06-28T00:00:00Z
Yes,0.8,No,274,0.95,5,low,sales,4,No,2015-11-25T00:00:00Z
Yes,0.89,No,275,0.87,6,low,marketing,5,No,2014-10-15T00:00:00Z
Yes,0.48,No,239,0.88,3,low,sales,3,No,2017-10-08T00:00:00Z
Yes,0.38,No,145,0.55,3,low,support,2,No,2017-12-31T00:00:00Z
Yes,0.11,No,259,0.85,4,medium,technical,6,No,2016-07-21T00:00:00Z
Yes,0.82,No,264,0.86,5,medium,management,4,No,2015-10-15T00:00:00Z
Yes,0.37,No,160,0.45,3,medium,marketing,2,No,2017-03-30T00:00:00Z
Yes,0.4,No,138,0.48,3,medium,marketing,2,No,2017-07-15T00:00:00Z
Yes,0.43,No,137,0.47,3,medium,marketing,2,No,2017-05-07T00:00:00Z
Yes,0.44,No,156,0.5,3,medium,sales,2,No,2017-07-23T00:00:00Z
Yes,0.42,No,147,0.56,3,medium,sales,2,No,2017-12-10T00:00:00Z
Yes,0.11,No,243,0.8,4,medium,sales,7,No,2016-06-29T00:00:00Z
Yes,0.78,No,236,0.87,5,medium,sales,4,No,2015-10-11T00:00:00Z
Yes,0.46,No,212,0.86,4,medium,sales,2,No,2016-08-18T00:00:00Z
Yes,0.77,No,261,0.91,6,medium,sales,5,No,2014-12-06T00:00:00Z
Yes,0.83,No,243,0.82,5,medium,sales,4,No,2015-11-11T00:00:00Z
Yes,0.32,No,271,0.58,5,high,sales,5,No,2015-09-06T00:00:00Z
Yes,0.9,No,154,0.92,4,low,sales,5,No,2016-11-13T00:00:00Z
Yes,0.42,No,151,0.52,3,medium,sales,2,No,2017-09-21T00:00:00Z
Yes,0.1,No,285,0.91,4,medium,sales,6,No,2016-04-03T00:00:00Z
Yes,0.44,No,130,0.49,3,medium,sales,2,No,2017-05-20T00:00:00Z
Yes,0.1,No,301,0.95,4,low,sales,7,No,2016-10-23T00:00:00Z
Yes,0.11,No,286,0.8,4,low,sales,6,No,2016-05-23T00:00:00Z
Yes,0.1,No,246,0.89,4,low,sales,6,No,2016-11-12T00:00:00Z
Yes,0.39,No,135,0.47,3,low,sales,2,No,2017-11-28T00:00:00Z
Yes,0.92,No,245,0.92,5,low,sales,4,No,2015-08-05T00:00:00Z
Yes,0.43,No,136,0.56,3,low,sales,2,No,2017-03-01T00:00:00Z
Yes,0.11,No,301,0.89,4,low,accounting,6,No,2016-02-26T00:00:00Z
Yes,0.81,No,235,1,5,low,accounting,5,No,2015-11-16T00:00:00Z
Yes,0.11,No,272,0.85,4,low,accounting,7,No,2016-02-26T00:00:00Z
Yes,0.87,No,274,1,5,low,hr,5,No,2015-11-27T00:00:00Z
Yes,0.37,No,131,0.46,3,low,hr,2,No,2017-08-11T00:00:00Z
Yes,0.39,No,135,0.56,3,low,hr,2,No,2017-05-14T00:00:00Z
Yes,0.61,No,196,0.86,4,low,hr,4,No,2016-06-07T00:00:00Z
Yes,0.11,No,285,0.95,4,low,technical,6,No,2016-04-07T00:00:00Z
Yes,0.09,No,289,0.9,5,low,technical,7,No,2015-05-05T00:00:00Z
Yes,0.36,No,157,0.52,3,low,technical,2,No,2017-01-08T00:00:00Z
Yes,0.09,No,308,0.94,4,low,technical,6,No,2016-04-06T00:00:00Z
Yes,0.41,No,301,0.71,5,low,technical,4,No,2015-10-10T00:00:00Z
Yes,0.4,No,131,0.46,3,low,technical,2,No,2017-11-04T00:00:00Z
Yes,0.39,No,133,0.57,3,medium,technical,2,No,2017-11-18T00:00:00Z
Yes,0.41,No,153,0.5,3,medium,technical,2,No,2017-03-10T00:00:00Z
Yes,0.1,No,281,0.94,4,medium,technical,7,No,2016-10-27T00:00:00Z
Yes,0.39,No,132,0.51,3,medium,support,2,No,2017-01-15T00:00:00Z
Yes,0.41,No,150,0.45,3,medium,support,2,No,2017-03-03T00:00:00Z
Yes,0.37,No,140,0.51,3,medium,support,2,No,2017-10-04T00:00:00Z
Yes,0.8,No,180,0.63,5,medium,support,5,No,2015-09-19T00:00:00Z
Yes,0.09,No,281,0.85,4,medium,support,5,No,2016-03-02T00:00:00Z
Yes,0.85,No,275,0.92,5,medium,support,4,No,2015-03-05T00:00:00Z
Yes,0.42,No,130,0.54,3,medium,support,2,No,2017-07-03T00:00:00Z
Yes,0.41,No,130,0.48,3,high,support,2,No,2017-07-10T00:00:00Z
Yes,0.38,No,147,0.46,3,low,support,2,No,2017-12-07T00:00:00Z
Yes,0.72,No,264,1,5,medium,technical,5,No,2015-10-01T00:00:00Z
Yes,0.11,No,290,0.74,5,medium,technical,6,No,2015-11-13T00:00:00Z
Yes,0.37,No,150,0.47,3,medium,technical,2,No,2017-07-09T00:00:00Z
Yes,0.1,No,304,0.81,4,medium,management,6,No,2016-04-09T00:00:00Z
Yes,0.36,No,136,0.54,3,low,IT,2,No,2017-11-12T00:00:00Z
Yes,0.92,No,307,0.94,5,low,IT,5,No,2015-11-10T00:00:00Z
Yes,0.11,No,303,0.87,4,low,IT,5,No,2016-03-25T00:00:00Z
Yes,0.39,No,156,0.56,3,low,IT,2,No,2017-01-26T00:00:00Z
Yes,0.11,No,271,0.95,4,low,IT,6,No,2016-10-17T00:00:00Z
Yes,0.45,No,140,0.45,3,low,product_mng,2,No,2017-06-03T00:00:00Z
Yes,0.85,No,266,0.97,6,low,product_mng,4,No,2014-08-11T00:00:00Z
Yes,0.43,No,139,0.52,3,low,product_mng,2,No,2017-09-23T00:00:00Z
Yes,0.75,No,260,0.86,5,low,IT,5,No,2015-09-10T00:00:00Z
Yes,0.36,No,158,0.5,3,low,RandD,2,No,2017-09-23T00:00:00Z
Yes,0.1,No,249,0.79,4,low,RandD,6,No,2016-01-28T00:00:00Z
Yes,0.74,No,259,0.89,5,low,RandD,5,No,2015-09-29T00:00:00Z
Yes,0.4,No,144,0.46,3,low,RandD,2,No,2017-12-21T00:00:00Z
Yes,0.09,No,244,0.77,4,low,marketing,6,No,2016-01-14T00:00:00Z
Yes,0.76,No,219,0.91,5,low,sales,4,No,2015-04-02T00:00:00Z
Yes,0.45,No,151,0.57,3,low,accounting,2,No,2017-02-06T00:00:00Z
Yes,0.84,No,269,0.88,5,low,support,4,No,2015-12-08T00:00:00Z
Yes,0.38,No,127,0.45,3,low,technical,2,No,2017-05-15T00:00:00Z
Yes,0.38,No,144,0.46,3,low,management,2,No,2017-06-01T00:00:00Z
Yes,0.38,No,157,0.54,3,medium,marketing,2,No,2017-06-26T00:00:00Z
Yes,0.86,No,224,0.94,5,medium,marketing,5,No,2015-05-07T00:00:00Z
Yes,0.37,No,155,0.46,3,medium,marketing,2,No,2017-12-14T00:00:00Z
Yes,0.37,No,131,0.5,3,medium,sales,2,No,2017-04-01T00:00:00Z
Yes,0.11,No,267,0.85,4,medium,sales,6,No,2016-01-10T00:00:00Z
Yes,0.42,No,141,0.5,3,medium,sales,2,No,2017-02-18T00:00:00Z
Yes,0.43,No,160,0.48,3,medium,sales,2,No,2017-08-12T00:00:00Z
Yes,0.09,No,247,0.8,4,medium,sales,6,No,2016-02-03T00:00:00Z
Yes,0.54,No,260,0.56,3,medium,sales,4,No,2017-01-16T00:00:00Z
Yes,0.4,No,151,0.47,3,medium,sales,2,No,2017-11-11T00:00:00Z
Yes,0.87,No,256,0.9,5,high,sales,4,No,2015-08-18T00:00:00Z
Yes,0.75,No,239,0.88,5,low,sales,4,No,2015-07-11T00:00:00Z
Yes,0.43,No,152,0.53,3,medium,sales,2,No,2017-12-31T00:00:00Z
Yes,0.43,No,149,0.47,3,medium,sales,2,No,2017-06-03T00:00:00Z
Yes,0.1,No,284,0.87,4,medium,sales,6,No,2016-02-06T00:00:00Z
Yes,0.11,No,248,0.78,4,medium,sales,7,No,2016-01-15T00:00:00Z
Yes,0.44,No,156,0.53,3,low,sales,2,No,2017-06-10T00:00:00Z
Yes,0.39,No,138,0.48,3,low,sales,2,No,2017-10-24T00:00:00Z
Yes,0.4,No,155,0.55,3,low,sales,2,No,2017-09-08T00:00:00Z
Yes,0.92,No,229,0.87,6,low,sales,4,No,2014-05-22T00:00:00Z
Yes,0.36,No,136,0.47,3,low,accounting,2,No,2017-10-02T00:00:00Z
Yes,0.86,No,241,0.95,5,low,accounting,4,No,2015-02-09T00:00:00Z
Yes,0.74,No,258,0.87,5,low,accounting,5,No,2015-03-10T00:00:00Z
Yes,0.8,No,146,0.95,5,low,hr,3,No,2015-05-12T00:00:00Z
Yes,0.36,No,145,0.48,3,low,hr,2,No,2017-09-04T00:00:00Z
Yes,0.42,No,159,0.57,3,low,hr,2,No,2017-09-08T00:00:00Z
Yes,0.42,No,129,0.47,3,low,hr,2,No,2017-10-18T00:00:00Z
Yes,0.4,No,142,0.45,3,low,technical,2,No,2017-03-06T00:00:00Z
Yes,0.46,No,129,0.53,3,low,technical,2,No,2017-12-31T00:00:00Z
Yes,0.09,No,287,0.9,4,low,technical,6,No,2016-05-15T00:00:00Z
Yes,0.88,No,275,0.89,5,low,technical,4,No,2015-11-01T00:00:00Z
Yes,0.1,No,272,0.82,4,low,technical,6,No,2016-04-02T00:00:00Z
Yes,0.1,No,307,0.97,4,low,technical,6,No,2016-07-03T00:00:00Z
Yes,0.11,No,295,0.93,3,low,technical,4,No,2017-01-03T00:00:00Z
Yes,0.84,No,237,0.88,5,low,technical,5,No,2015-01-07T00:00:00Z
Yes,0.42,No,158,0.56,3,low,technical,2,No,2017-01-09T00:00:00Z
Yes,0.1,No,256,0.95,4,medium,technical,6,No,2016-12-31T00:00:00Z
Yes,0.46,No,158,0.54,3,medium,support,2,No,2017-07-12T00:00:00Z
Yes,0.09,No,268,0.97,4,medium,support,7,No,2016-01-09T00:00:00Z
Yes,0.89,No,237,1,5,medium,support,4,No,2015-10-21T00:00:00Z
Yes,0.82,No,273,1,6,medium,support,4,No,2014-01-06T00:00:00Z
Yes,0.11,No,309,0.89,4,medium,support,6,No,2016-07-11T00:00:00Z
Yes,0.81,No,258,0.84,5,medium,support,5,No,2015-02-26T00:00:00Z
Yes,0.81,No,233,0.94,6,medium,support,5,No,2014-11-20T00:00:00Z
Yes,0.77,No,249,1,6,medium,support,4,No,2014-02-09T00:00:00Z
Yes,0.63,No,179,0.94,2,medium,support,3,No,2018-07-26T00:00:00Z
Yes,0.4,No,128,0.57,3,medium,support,2,No,2017-08-23T00:00:00Z
Yes,0.86,No,250,1,6,medium,support,4,No,2014-03-10T00:00:00Z
Yes,0.37,No,151,0.49,3,high,technical,2,No,2017-06-25T00:00:00Z
Yes,0.44,No,132,0.5,3,low,technical,2,No,2017-06-02T00:00:00Z
Yes,0.74,No,232,0.89,6,medium,technical,5,No,2014-07-19T00:00:00Z
Yes,0.09,No,261,0.92,4,medium,IT,6,No,2016-02-15T00:00:00Z
Yes,0.37,No,129,0.48,3,medium,IT,2,No,2017-06-10T00:00:00Z
Yes,0.09,No,244,0.78,4,low,IT,6,No,2016-07-19T00:00:00Z
Yes,0.09,No,258,0.84,4,low,IT,6,No,2016-06-04T00:00:00Z
Yes,0.1,No,292,0.8,5,low,IT,7,No,2015-05-19T00:00:00Z
Yes,0.45,No,143,0.56,3,low,product_mng,2,No,2017-12-27T00:00:00Z
Yes,0.4,No,136,0.51,3,low,product_mng,2,No,2017-06-02T00:00:00Z
Yes,0.31,No,235,0.95,5,low,product_mng,6,No,2015-04-14T00:00:00Z
Yes,0.7,No,310,0.93,3,low,product_mng,2,No,2017-01-14T00:00:00Z
Yes,0.36,No,152,0.48,3,low,IT,2,No,2017-08-28T00:00:00Z
Yes,0.87,No,267,0.83,5,low,RandD,5,No,2015-04-12T00:00:00Z
Yes,0.11,No,302,0.91,4,low,RandD,6,No,2016-06-24T00:00:00Z
Yes,0.47,No,133,0.81,3,low,RandD,4,No,2017-07-20T00:00:00Z
Yes,0.43,No,142,0.52,3,low,RandD,2,No,2017-07-24T00:00:00Z
Yes,0.43,No,129,0.47,3,low,marketing,2,No,2017-03-10T00:00:00Z
Yes,0.45,No,136,0.57,3,low,sales,2,No,2017-03-26T00:00:00Z
Yes,0.74,No,223,1,5,low,accounting,5,No,2015-03-03T00:00:00Z
Yes,0.78,No,243,0.87,5,low,technical,5,No,2015-02-07T00:00:00Z
Yes,0.9,No,275,0.95,3,low,management,5,No,2017-01-06T00:00:00Z
Yes,0.53,No,205,0.95,4,low,marketing,6,No,2016-06-21T00:00:00Z
Yes,0.45,No,154,0.54,3,low,marketing,2,No,2017-07-07T00:00:00Z
Yes,0.86,No,270,0.83,5,medium,marketing,4,No,2015-07-05T00:00:00Z
Yes,0.74,No,267,0.89,5,medium,sales,4,No,2015-11-20T00:00:00Z
Yes,0.09,No,276,0.79,4,medium,sales,6,No,2016-04-30T00:00:00Z
Yes,0.8,No,244,0.95,5,medium,sales,5,No,2015-02-13T00:00:00Z
Yes,0.46,No,128,0.53,3,medium,sales,2,No,2017-02-07T00:00:00Z
Yes,0.86,No,269,0.95,6,medium,sales,5,No,2014-10-20T00:00:00Z
Yes,0.86,No,238,0.95,5,medium,sales,4,No,2015-01-10T00:00:00Z
Yes,0.9,No,269,0.91,5,medium,sales,4,No,2015-10-01T00:00:00Z
Yes,0.87,No,231,0.88,6,medium,sales,5,No,2014-12-28T00:00:00Z
Yes,0.83,No,267,0.94,5,medium,sales,4,No,2015-02-20T00:00:00Z
Yes,0.77,No,245,0.83,5,medium,sales,4,No,2015-01-27T00:00:00Z
Yes,0.77,No,272,1,5,medium,sales,4,No,2015-04-30T00:00:00Z
Yes,0.9,No,254,0.86,5,high,sales,5,No,2015-01-23T00:00:00Z
Yes,0.73,No,273,0.92,5,low,sales,4,No,2015-12-05T00:00:00Z
Yes,0.91,No,250,0.9,5,medium,sales,4,No,2015-11-27T00:00:00Z
Yes,0.36,No,133,0.53,3,medium,sales,2,No,2017-12-07T00:00:00Z
Yes,0.38,No,150,0.54,3,medium,sales,2,No,2017-08-08T00:00:00Z
Yes,0.44,No,157,0.46,3,medium,sales,2,No,2017-02-11T00:00:00Z
Yes,0.73,No,230,1,5,low,sales,5,No,2015-08-17T00:00:00Z
Yes,0.89,No,260,0.91,5,low,sales,5,No,2015-08-31T00:00:00Z
Yes,0.11,No,275,0.77,4,low,accounting,6,No,2016-01-20T00:00:00Z
Yes,0.1,No,308,0.77,4,low,accounting,7,No,2016-09-15T00:00:00Z
Yes,0.37,No,129,0.46,3,low,accounting,2,No,2017-04-10T00:00:00Z
Yes,0.38,No,134,0.48,3,low,hr,2,No,2017-04-02T00:00:00Z
Yes,0.42,No,132,0.48,3,low,hr,2,No,2017-08-07T00:00:00Z
Yes,0.44,No,153,0.46,3,low,hr,2,No,2017-10-29T00:00:00Z
Yes,0.11,No,262,0.83,4,low,hr,6,No,2016-04-24T00:00:00Z
Yes,0.09,No,262,0.97,4,low,technical,7,No,2016-06-11T00:00:00Z
Yes,0.43,No,130,0.47,3,low,technical,2,No,2017-08-04T00:00:00Z
Yes,0.38,No,156,0.52,3,low,technical,2,No,2017-11-04T00:00:00Z
Yes,0.11,No,254,0.89,4,low,technical,6,No,2016-01-04T00:00:00Z
Yes,0.37,No,130,0.49,3,low,technical,2,No,2017-04-20T00:00:00Z
Yes,0.44,No,139,0.57,3,low,technical,2,No,2017-06-29T00:00:00Z
Yes,0.72,No,269,0.82,5,low,technical,5,No,2015-04-15T00:00:00Z
Yes,0.1,No,297,0.91,4,low,technical,7,No,2016-04-29T00:00:00Z
Yes,0.73,No,249,0.86,5,low,technical,5,No,2015-02-06T00:00:00Z
Yes,0.09,No,267,0.82,4,low,technical,7,No,2016-02-08T00:00:00Z
Yes,0.44,No,149,0.46,3,low,technical,2,No,2017-04-30T00:00:00Z
Yes,0.09,No,251,0.82,4,low,support,6,No,2016-10-08T00:00:00Z
Yes,0.1,No,306,0.87,4,medium,support,6,No,2016-09-09T00:00:00Z
Yes,0.11,No,279,0.86,4,medium,support,6,No,2016-03-21T00:00:00Z
Yes,0.42,No,131,0.46,3,medium,support,2,No,2017-10-29T00:00:00Z
Yes,0.09,No,260,0.85,4,medium,support,6,No,2016-07-21T00:00:00Z
Yes,0.72,No,249,0.88,5,medium,support,5,No,2015-10-25T00:00:00Z
Yes,0.75,No,245,0.97,5,medium,support,4,No,2015-09-29T00:00:00Z
Yes,0.44,No,138,0.5,3,medium,support,2,No,2017-04-28T00:00:00Z
Yes,0.11,No,278,0.91,4,medium,support,6,No,2016-10-14T00:00:00Z
Yes,0.38,No,147,0.47,3,medium,support,2,No,2017-04-09T00:00:00Z
Yes,0.39,No,131,0.57,3,medium,support,2,No,2017-05-28T00:00:00Z
Yes,0.1,No,301,0.9,4,medium,technical,7,No,2016-07-07T00:00:00Z
Yes,0.43,No,141,0.52,3,medium,technical,2,No,2017-08-13T00:00:00Z
Yes,0.39,No,158,0.57,3,high,technical,2,No,2017-10-03T00:00:00Z
Yes,0.88,No,235,0.87,6,low,management,4,No,2014-11-26T00:00:00Z
Yes,0.1,No,261,0.85,4,medium,IT,7,No,2016-03-14T00:00:00Z
Yes,0.1,No,270,0.89,4,medium,IT,5,No,2016-08-22T00:00:00Z
Yes,0.11,No,290,0.93,4,medium,IT,6,No,2016-04-08T00:00:00Z
Yes,0.37,No,149,0.47,3,medium,IT,2,No,2017-01-07T00:00:00Z
Yes,0.37,No,160,0.48,3,low,IT,2,No,2017-03-31T00:00:00Z
Yes,0.77,No,150,0.87,4,low,product_mng,4,No,2016-12-15T00:00:00Z
Yes,0.91,No,218,0.94,6,low,product_mng,5,No,2014-05-23T00:00:00Z
Yes,0.46,No,155,0.51,3,low,product_mng,2,No,2017-08-11T00:00:00Z
Yes,0.11,No,291,0.87,4,low,product_mng,6,No,2016-07-15T00:00:00Z
Yes,0.86,No,265,0.91,5,low,IT,5,No,2015-10-01T00:00:00Z
Yes,0.87,No,262,0.88,6,low,sales,5,No,2014-01-27T00:00:00Z
Yes,0.09,No,303,0.92,5,low,sales,6,No,2015-08-24T00:00:00Z
Yes,0.42,No,132,0.46,3,low,sales,2,No,2017-02-28T00:00:00Z
Yes,0.46,No,129,0.48,3,low,sales,2,No,2017-01-06T00:00:00Z
Yes,0.88,No,226,1,6,low,marketing,5,No,2014-08-03T00:00:00Z
Yes,0.1,No,286,0.91,4,low,marketing,6,No,2016-04-14T00:00:00Z
Yes,0.43,No,140,0.45,3,low,sales,2,No,2017-01-08T00:00:00Z
Yes,0.37,No,153,0.49,3,low,accounting,2,No,2017-08-06T00:00:00Z
Yes,0.8,No,217,0.95,5,low,support,5,No,2015-02-09T00:00:00Z
Yes,0.83,No,258,0.95,5,low,technical,5,No,2015-01-20T00:00:00Z
Yes,0.39,No,156,0.57,3,low,management,2,No,2017-05-26T00:00:00Z
Yes,0.77,No,255,0.92,5,low,marketing,5,No,2015-06-30T00:00:00Z
Yes,0.43,No,129,0.46,3,low,marketing,2,No,2017-11-22T00:00:00Z
Yes,0.79,No,234,0.96,5,low,marketing,4,No,2015-12-23T00:00:00Z
Yes,0.1,No,300,0.88,4,medium,sales,7,No,2016-08-22T00:00:00Z
Yes,0.39,No,131,0.53,3,medium,sales,2,No,2017-03-30T00:00:00Z
Yes,0.11,No,301,0.89,4,medium,sales,6,No,2016-06-15T00:00:00Z
Yes,0.4,No,156,0.51,3,medium,sales,2,No,2017-11-29T00:00:00Z
Yes,0.11,No,269,0.95,5,medium,sales,7,No,2015-05-21T00:00:00Z
Yes,0.36,No,276,0.73,2,medium,sales,4,No,2018-10-31T00:00:00Z
Yes,0.11,No,302,0.94,4,medium,sales,7,No,2016-11-28T00:00:00Z
Yes,0.35,No,281,0.8,2,medium,sales,6,No,2018-12-23T00:00:00Z
Yes,0.78,No,241,0.99,5,medium,sales,5,No,2015-01-09T00:00:00Z
Yes,0.11,No,288,0.93,4,high,sales,7,No,2016-01-12T00:00:00Z
Yes,0.1,No,303,0.96,4,low,sales,6,No,2016-02-10T00:00:00Z
Yes,0.42,No,135,0.54,3,medium,sales,2,No,2017-10-25T00:00:00Z
Yes,0.79,No,245,0.84,5,medium,sales,5,No,2015-01-30T00:00:00Z
Yes,0.45,No,145,0.45,3,medium,sales,2,No,2017-09-03T00:00:00Z
Yes,0.09,No,248,0.91,4,low,sales,6,No,2016-06-11T00:00:00Z
Yes,0.11,No,302,0.91,4,low,accounting,6,No,2016-07-31T00:00:00Z
Yes,0.45,No,144,0.49,3,low,accounting,2,No,2017-02-13T00:00:00Z
Yes,0.11,No,272,0.91,4,low,accounting,6,No,2016-10-27T00:00:00Z
